"NUTS","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
EU27_2020,37,37,42,48,49,30,50,48,66,63,57,59,67,68,54,95,59,45,45,81,67,71,80,62,129,63,72,96,78,74,83,97,77,115,85,59,122,93,112,98,111,99,100,140,121,142
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,1,1,4,2,15,4,4,6,4,12,3,4,6,37,8,34,7,2,2,17,5,18,13,16,46,5,11,29,26,7,10,25,18,32,47,9,68,12,36,33,40,10,25,29,37,58
AT1,4,3,13,5,34,8,11,19,11,35,11,15,18,85,22,78,17,4,7,45,12,48,35,34,95,13,24,63,58,18,26,49,38,76,89,25,143,31,84,75,83,24,53,63,77,132
AT11,3,7,20,9,49,10,18,28,19,54,16,18,23,109,33,100,23,8,7,64,20,80,66,64,147,17,36,90,86,33,42,68,53,119,123,38,174,46,124,93,113,40,86,95,93,184
AT111,1,4,14,9,49,8,13,27,14,59,18,17,25,114,36,106,22,7,3,68,20,84,77,63,154,5,18,73,63,14,23,50,36,96,98,16,142,32,84,75,81,32,65,81,84,178
AT112,7,13,30,15,68,14,32,46,26,68,25,31,33,121,40,141,41,12,15,82,25,94,78,81,170,31,61,138,127,66,75,101,80,162,160,72,233,70,184,137,166,64,98,126,114,231
AT113,0,0,10,0,26,6,4,6,11,34,3,3,10,92,24,47,0,4,0,40,12,63,47,44,116,5,14,40,47,3,10,38,29,76,90,6,118,25,69,49,65,13,81,63,70,130
AT12,4,3,11,5,31,7,9,16,9,31,10,13,16,79,19,72,16,3,7,40,10,41,28,28,83,11,20,55,50,13,21,43,34,64,80,21,134,26,72,67,74,19,44,54,71,117
AT121,1,4,10,3,25,4,9,9,8,24,6,6,9,71,19,69,16,1,4,28,8,29,13,23,63,2,13,37,30,4,11,41,27,40,65,17,122,19,55,57,56,11,38,36,68,99
AT122,1,0,5,2,25,3,3,8,3,18,3,4,6,59,5,29,9,1,5,27,6,34,29,26,74,4,14,18,33,3,10,26,17,40,59,7,93,13,44,21,45,6,23,37,40,66
AT123,4,6,17,7,40,8,12,20,14,39,12,19,20,107,33,87,21,2,10,46,11,48,27,31,90,11,17,57,46,6,18,42,37,63,83,19,165,31,86,86,88,18,54,59,96,148
AT124,1,1,4,1,14,4,3,6,4,14,3,4,3,43,4,36,6,1,2,22,5,19,9,11,54,2,7,14,24,2,4,14,17,17,42,4,88,7,31,27,32,3,10,17,29,45
AT125,6,0,13,6,36,11,13,21,11,42,18,17,26,97,22,102,20,6,12,57,14,53,37,31,96,17,23,83,61,14,23,56,46,91,95,29,164,33,93,96,99,30,57,79,95,170
AT126,10,4,22,9,50,15,17,33,19,52,21,33,37,124,38,124,26,7,13,69,18,68,53,48,125,26,38,119,95,37,48,76,57,127,130,41,190,50,125,121,126,43,85,96,114,200
AT127,10,8,26,12,60,14,22,39,18,59,24,34,35,123,46,133,31,7,12,68,19,71,60,54,138,38,55,136,111,56,67,95,71,159,158,66,222,72,164,156,162,58,103,125,135,229
AT13,12,7,29,10,60,16,17,37,17,56,23,53,47,144,75,173,28,6,12,65,19,67,50,44,123,70,79,187,170,114,116,135,117,218,197,101,283,117,215,245,233,120,157,172,205,317
AT130,12,7,29,10,60,16,17,37,17,56,23,53,47,144,75,173,28,6,12,65,19,67,50,44,123,70,79,187,170,114,116,135,117,218,197,101,283,117,215,245,233,120,157,172,205,317
AT2,0,0,1,0,9,2,1,1,1,5,0,0,2,23,4,15,2,1,0,8,3,11,8,11,35,3,7,17,17,4,5,20,12,20,41,2,36,6,22,12,26,5,21,23,23,41
AT21,0,0,0,0,10,3,0,0,0,1,0,0,2,12,1,11,2,0,0,3,1,3,2,5,23,0,4,11,11,0,1,16,9,17,39,2,28,5,16,10,22,5,11,20,18,31
AT211,0,0,1,0,18,4,0,0,0,1,0,0,3,16,2,15,3,1,0,5,1,2,2,9,31,0,7,16,13,0,2,24,14,26,62,5,45,7,26,18,37,8,18,33,29,50
AT212,0,0,0,0,6,1,0,0,0,0,0,0,1,4,0,3,0,0,0,1,0,0,0,2,5,0,2,3,3,0,0,6,4,7,19,1,12,1,6,5,13,3,3,9,6,11
AT213,0,0,1,0,12,4,0,0,0,3,0,0,2,20,2,19,3,1,0,6,1,6,3,8,41,0,6,18,19,0,2,24,12,23,50,2,37,7,21,12,26,7,17,25,25,43
AT22,0,0,2,0,8,2,1,1,2,7,0,0,3,29,5,18,2,2,0,11,5,16,12,15,41,4,8,21,21,6,7,22,14,22,42,2,40,7,26,14,28,5,26,24,25,47
AT221,0,0,2,0,15,4,2,1,1,7,0,0,7,54,7,26,2,1,0,23,11,30,28,33,79,12,18,49,43,22,18,52,38,33,71,11,98,15,71,38,66,20,61,65,49,83
AT222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,3,0,0,1,1,1,6,0,2,0,0,0,4,0,0,1,1,2
AT223,0,0,0,0,5,1,0,1,0,2,0,0,0,14,0,10,2,0,0,1,1,4,2,4,18,0,7,7,15,0,2,10,3,11,35,0,15,0,6,1,12,1,5,7,8,11
AT224,0,0,5,0,18,4,3,1,6,20,1,1,6,69,15,39,4,5,0,30,12,47,35,36,100,9,16,48,47,12,14,46,29,56,82,4,98,19,59,37,62,11,66,56,62,118
AT225,0,0,2,0,17,4,1,2,3,12,0,1,8,60,12,42,4,3,0,20,9,22,18,27,77,8,14,45,35,14,13,49,28,41,76,4,68,11,51,24,46,9,52,48,51,92
AT226,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,1,0,0,5,0,1,0,0,0,3,0,0,0,1,8
AT3,0,1,1,1,7,2,1,1,1,3,1,0,2,15,1,18,4,0,1,5,2,4,3,7,21,1,5,14,10,2,3,13,8,10,22,3,39,5,14,19,21,4,8,12,21,20
AT31,0,2,1,2,11,2,2,3,2,7,2,0,4,35,4,45,7,1,2,12,5,11,6,16,46,3,11,34,23,5,6,31,19,25,51,7,94,11,33,47,47,8,21,27,50,52
AT311,0,3,0,4,13,4,1,5,2,4,1,0,4,47,3,64,6,0,3,16,7,11,8,18,70,4,10,43,22,7,6,31,20,27,52,8,113,14,40,61,47,6,22,33,55,42
AT312,0,1,3,2,18,4,6,4,3,13,4,0,6,55,8,73,14,4,3,20,9,25,13,31,77,7,20,55,33,6,7,44,27,34,60,10,138,14,48,74,58,6,28,36,64,93
AT313,0,1,2,1,9,2,3,2,3,8,1,1,2,31,3,30,7,2,1,14,4,11,5,11,36,1,9,21,21,3,7,23,18,20,48,9,90,8,27,35,38,9,20,20,37,55
AT314,0,0,2,0,8,1,1,2,1,7,1,0,3,21,3,29,8,1,1,7,3,8,4,15,28,3,12,25,23,4,7,35,22,24,50,9,82,13,32,32,52,7,19,23,49,54
AT315,0,2,1,0,8,1,2,1,3,4,1,0,3,25,2,33,4,0,1,5,2,2,3,8,25,3,9,31,20,6,5,28,11,22,46,1,58,8,23,40,45,10,17,25,47,30
AT32,0,1,0,0,3,1,1,1,1,1,0,0,1,6,0,6,2,0,0,1,0,0,1,2,5,0,2,6,6,1,1,6,3,5,11,1,15,2,5,9,10,3,3,6,11,5
AT321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT322,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,3,0,0,0,1,0,0,0,1,0
AT323,0,3,2,0,12,4,3,3,2,4,1,0,5,24,1,25,6,1,0,5,1,2,5,8,20,1,9,23,19,4,5,19,12,19,40,4,55,7,20,34,39,11,13,24,43,19
AT33,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,3,0,4,0,1,0,4,0,0,0,1,0
AT331,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
AT332,0,2,0,0,7,3,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0
AT333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT334,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
AT335,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,4,0,1,1,4,0,2,2,1,1,7,0,9,0,2,1,9,0,0,0,1,0
AT34,0,2,0,1,13,3,1,2,1,1,1,2,1,13,1,10,6,0,0,11,3,4,2,6,32,1,5,9,5,3,5,10,6,6,16,4,29,4,14,12,20,7,5,12,17,10
AT341,0,1,0,0,7,2,0,1,0,0,0,0,0,4,0,3,4,0,0,4,1,2,0,2,14,0,2,4,2,1,2,4,2,2,8,1,16,1,8,5,11,3,2,5,8,4
AT342,1,5,0,2,28,8,3,7,4,4,2,5,4,36,2,27,12,1,0,28,9,11,6,17,80,2,13,23,11,8,14,25,15,15,35,10,61,10,31,29,41,17,13,30,41,23
ATZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,0,1,4,4,16,3,0,2,3,0,10,17,6,10,0,41,36,8,14,8,1,6,15,13,44,8,13,43,3,1,8,22,9,13,17,8,30,25,17,36,40,53,4,25,12,12
BE1,1,6,12,13,34,8,2,6,7,1,20,25,9,9,0,40,40,11,18,10,0,8,18,15,32,11,14,40,0,2,9,20,9,15,17,10,32,25,18,41,43,59,5,30,11,13
