"NUTS","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
EU27_2020,3510,3678,3466,3314,3274,3430,3726,3525,3665,3290,3012,3033,3400,3210,3375,3147,3219,3533,3194,3263,3129,2961,3210,3063,3226,3216,3210,3085,2986,3036,3113,3497,2968,3238,3160,2816,2901,3033,3045,2941,2909,2759,3126,2858,2821,2698
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,3954,4225,3914,3781,3729,4075,4118,4008,4056,3731,3595,3653,4008,3595,3766,3367,3799,4119,3685,3715,3670,3409,3747,3481,3704,3738,3854,3649,3363,3444,3505,3906,3409,3553,3635,3127,3316,3419,3498,3194,3280,3322,3633,3229,3148,3038
AT1,3388,3681,3279,3301,3167,3455,3637,3462,3547,3161,3034,3041,3450,3055,3252,2892,3269,3715,3328,3128,3060,2794,3170,2938,3228,3210,3306,3161,2858,2899,2979,3406,2973,3029,3123,2594,2795,2932,2989,2718,2727,2800,3083,2762,2617,2517
AT11,3124,3408,2981,3067,2885,3162,3346,3222,3300,2942,2768,2785,3235,2827,3026,2691,3003,3375,3084,2871,2824,2497,2822,2652,3006,2968,3065,2884,2617,2604,2698,3102,2795,2732,2842,2316,2575,2692,2759,2531,2487,2594,2833,2591,2430,2327
AT111,3181,3464,3020,3108,2899,3222,3393,3248,3348,2996,2801,2821,3277,2844,3021,2697,3024,3414,3100,2907,2853,2525,2841,2693,3051,3026,3133,2924,2646,2652,2754,3161,2844,2763,2883,2384,2646,2763,2815,2566,2538,2634,2883,2637,2469,2326
AT112,3004,3291,2829,2974,2761,3027,3255,3109,3194,2822,2667,2689,3139,2758,2992,2603,2898,3264,2989,2762,2735,2431,2781,2608,2912,2819,2889,2706,2447,2444,2557,2985,2668,2615,2751,2202,2451,2574,2619,2437,2392,2476,2730,2483,2340,2220
AT113,3244,3522,3147,3161,3028,3298,3435,3347,3406,3061,2876,2884,3333,2902,3069,2794,3122,3491,3191,2986,2918,2565,2864,2686,3098,3121,3245,3082,2811,2775,2844,3216,2928,2859,2935,2423,2693,2801,2902,2628,2579,2718,2935,2699,2522,2458
AT12,3451,3745,3348,3355,3233,3523,3704,3518,3605,3214,3096,3103,3505,3111,3310,2943,3330,3792,3384,3187,3114,2861,3248,3003,3279,3272,3369,3231,2920,2973,3049,3482,3020,3103,3193,2663,2851,2992,3048,2766,2787,2854,3145,2808,2667,2566
AT121,3513,3778,3418,3361,3295,3543,3734,3528,3608,3208,3159,3164,3547,3172,3322,2948,3313,3774,3369,3224,3147,2966,3351,3045,3353,3330,3459,3386,2980,3089,3103,3502,3016,3149,3211,2674,2895,3022,3107,2764,2859,2874,3174,2817,2700,2589
AT122,3650,3946,3547,3544,3379,3757,3891,3756,3823,3468,3310,3299,3700,3243,3419,3027,3490,3914,3475,3325,3273,2951,3274,3075,3408,3417,3511,3313,3050,3047,3181,3599,3121,3213,3289,2792,2946,3062,3145,2871,2871,2973,3233,2902,2764,2629
AT123,3308,3572,3172,3197,3049,3324,3543,3344,3450,3015,2937,2893,3326,2944,3116,2779,3121,3626,3229,3075,2988,2745,3113,2868,3215,3108,3232,3081,2768,2844,2907,3356,2856,2983,3060,2506,2652,2816,2860,2581,2616,2674,2957,2615,2480,2399
