NUTS,YEAR,ELC,LEVEL,geometry,AREA,POPULATION,GDP_cap,COMP_emp,CDD,HDD,ELC_cap,POP_density
AT11,2021,1557.4921362,2,"POLYGON ((4846489.8573 2803511.3914, 4854633.2936 2791782.4586999994, 4848182.930199999 2758424.007200001, 4831130.8323 2754284.3971999995, 4815471.18 2758594.6459, 4802912.6987 2748897.5074000005, 4821820.7984 2743038.7753, 4821838.7709 2726165.9716, 4806751.430600001 2714374.6019, 4812740.354599999 2687723.0766000003, 4810258.654200001 2677111.2202000003, 4800025.597100001 2673793.8384000007, 4786947.8336 2658724.9250000007, 4778298.5133 2654263.0853000004, 4785713.0998 2673003.2632, 4776791.9191 2712431.4378999993, 4786359.1337 2720266.3476, 4794232.3982 2724666.8182999995, 4799461.1095 2746013.3567999993, 4794492.8671 2758158.7359999996, 4798615.8835 2772722.7161999997, 4805034.1021 2779100.0143999998, 4813148.559699999 2777119.8232000005, 4830660.8871 2794709.8901000004, 4841049.4728 2794508.9826999996, 4846489.8573 2803511.3914))",3945.1775131955055,296010.0,31.2,42.62973,86.0,2833.0,5.26162,75.03084436883513
AT11,2022,1543.94690307,2,"POLYGON ((4846489.8573 2803511.3914, 4854633.2936 2791782.4586999994, 4848182.930199999 2758424.007200001, 4831130.8323 2754284.3971999995, 4815471.18 2758594.6459, 4802912.6987 2748897.5074000005, 4821820.7984 2743038.7753, 4821838.7709 2726165.9716, 4806751.430600001 2714374.6019, 4812740.354599999 2687723.0766000003, 4810258.654200001 2677111.2202000003, 4800025.597100001 2673793.8384000007, 4786947.8336 2658724.9250000007, 4778298.5133 2654263.0853000004, 4785713.0998 2673003.2632, 4776791.9191 2712431.4378999993, 4786359.1337 2720266.3476, 4794232.3982 2724666.8182999995, 4799461.1095 2746013.3567999993, 4794492.8671 2758158.7359999996, 4798615.8835 2772722.7161999997, 4805034.1021 2779100.0143999998, 4813148.559699999 2777119.8232000005, 4830660.8871 2794709.8901000004, 4841049.4728 2794508.9826999996, 4846489.8573 2803511.3914))",3945.1775131955055,297583.0,32.3,42.55827,95.0,2591.0,5.18829,75.42955900074682
AT11,2023,1486.1957875,2,"POLYGON ((4846489.8573 2803511.3914, 4854633.2936 2791782.4586999994, 4848182.930199999 2758424.007200001, 4831130.8323 2754284.3971999995, 4815471.18 2758594.6459, 4802912.6987 2748897.5074000005, 4821820.7984 2743038.7753, 4821838.7709 2726165.9716, 4806751.430600001 2714374.6019, 4812740.354599999 2687723.0766000003, 4810258.654200001 2677111.2202000003, 4800025.597100001 2673793.8384000007, 4786947.8336 2658724.9250000007, 4778298.5133 2654263.0853000004, 4785713.0998 2673003.2632, 4776791.9191 2712431.4378999993, 4786359.1337 2720266.3476, 4794232.3982 2724666.8182999995, 4799461.1095 2746013.3567999993, 4794492.8671 2758158.7359999996, 4798615.8835 2772722.7161999997, 4805034.1021 2779100.0143999998, 4813148.559699999 2777119.8232000005, 4830660.8871 2794709.8901000004, 4841049.4728 2794508.9826999996, 4846489.8573 2803511.3914))",3945.1775131955055,301250.0,32.7,42.44763,93.0,2430.0,4.9334299999999995,76.35904822847736
AT12,2021,12639.13452831,2,"POLYGON ((4742889.3682 2876362.7248, 4783217.797599999 2866474.0178999994, 4802272.2919 2876131.341499999, 4826938.591700001 2867717.001, 4832035.225400001 2857836.831599999, 4833565.827299999 2848880.935799999, 4827291.811899999 2837437.805400001, 4839232.970000001 2808802.6084000003, 4846489.8573 2803511.3914, 4841049.4728 2794508.9826999996, 4830660.8871 2794709.8901000004, 4813148.559699999 2777119.8232000005, 4805034.1021 2779100.0143999998, 4798615.8835 2772722.7161999997, 4794492.8671 2758158.7359999996, 4799461.1095 2746013.3567999993, 4794232.3982 2724666.8182999995, 4786359.1337 2720266.3476, 4780029.485200001 2728347.4551999997, 4760796.640699999 2734593.8402999993, 4750867.4233 2744836.3982999995, 4723072.4749 2758571.9596999995, 4711804.5307 2756071.9159999993, 4702486.772700001 2749484.1655, 4680014.4482 2746538.018100001, 4676275.6162 2748475.8258999996, 4675665.1109 2764056.0321999993, 4659253.963099999 2774810.9908000007, 4654776.8215 2787028.4026999995, 4656732.846899999 2801817.7792000007, 4675427.5437 2796440.8738, 4689776.2969 2805059.8488999996, 4688301.636499999 2819349.191400001, 4680267.486500001 2833529.7031999994, 4666960.763 2841107.5930000003, 4671696.735300001 2855478.0228000004, 4683800.216 2865231.0216000006, 4688408.726500001 2889033.9690000005, 4726983.6402 2881333.1931999996, 4742889.3682 2876362.7248), (4782534.532400001 2811756.030099999, 4780681.6302000005 2803583.5084000006, 4810026.3159 2802881.3099000007, 4805208.368100001 2815402.4612000007, 4796625.635 2819975.155200001, 4782534.532400001 2811756.030099999))",19367.651864410276,1690879.0,36.8,47.11865,44.0,3145.0,7.474889999999999,87.30428509545524
AT12,2022,12385.22512964,2,"POLYGON ((4742889.3682 2876362.7248, 4783217.797599999 2866474.0178999994, 4802272.2919 2876131.341499999, 4826938.591700001 2867717.001, 4832035.225400001 2857836.831599999, 4833565.827299999 2848880.935799999, 4827291.811899999 2837437.805400001, 4839232.970000001 2808802.6084000003, 4846489.8573 2803511.3914, 4841049.4728 2794508.9826999996, 4830660.8871 2794709.8901000004, 4813148.559699999 2777119.8232000005, 4805034.1021 2779100.0143999998, 4798615.8835 2772722.7161999997, 4794492.8671 2758158.7359999996, 4799461.1095 2746013.3567999993, 4794232.3982 2724666.8182999995, 4786359.1337 2720266.3476, 4780029.485200001 2728347.4551999997, 4760796.640699999 2734593.8402999993, 4750867.4233 2744836.3982999995, 4723072.4749 2758571.9596999995, 4711804.5307 2756071.9159999993, 4702486.772700001 2749484.1655, 4680014.4482 2746538.018100001, 4676275.6162 2748475.8258999996, 4675665.1109 2764056.0321999993, 4659253.963099999 2774810.9908000007, 4654776.8215 2787028.4026999995, 4656732.846899999 2801817.7792000007, 4675427.5437 2796440.8738, 4689776.2969 2805059.8488999996, 4688301.636499999 2819349.191400001, 4680267.486500001 2833529.7031999994, 4666960.763 2841107.5930000003, 4671696.735300001 2855478.0228000004, 4683800.216 2865231.0216000006, 4688408.726500001 2889033.9690000005, 4726983.6402 2881333.1931999996, 4742889.3682 2876362.7248), (4782534.532400001 2811756.030099999, 4780681.6302000005 2803583.5084000006, 4810026.3159 2802881.3099000007, 4805208.368100001 2815402.4612000007, 4796625.635 2819975.155200001, 4782534.532400001 2811756.030099999))",19367.651864410276,1698796.0,38.1,47.056400000000004,54.0,2808.0,7.290590000000001,87.71305948149985
AT12,2023,11729.52817935,2,"POLYGON ((4742889.3682 2876362.7248, 4783217.797599999 2866474.0178999994, 4802272.2919 2876131.341499999, 4826938.591700001 2867717.001, 4832035.225400001 2857836.831599999, 4833565.827299999 2848880.935799999, 4827291.811899999 2837437.805400001, 4839232.970000001 2808802.6084000003, 4846489.8573 2803511.3914, 4841049.4728 2794508.9826999996, 4830660.8871 2794709.8901000004, 4813148.559699999 2777119.8232000005, 4805034.1021 2779100.0143999998, 4798615.8835 2772722.7161999997, 4794492.8671 2758158.7359999996, 4799461.1095 2746013.3567999993, 4794232.3982 2724666.8182999995, 4786359.1337 2720266.3476, 4780029.485200001 2728347.4551999997, 4760796.640699999 2734593.8402999993, 4750867.4233 2744836.3982999995, 4723072.4749 2758571.9596999995, 4711804.5307 2756071.9159999993, 4702486.772700001 2749484.1655, 4680014.4482 2746538.018100001, 4676275.6162 2748475.8258999996, 4675665.1109 2764056.0321999993, 4659253.963099999 2774810.9908000007, 4654776.8215 2787028.4026999995, 4656732.846899999 2801817.7792000007, 4675427.5437 2796440.8738, 4689776.2969 2805059.8488999996, 4688301.636499999 2819349.191400001, 4680267.486500001 2833529.7031999994, 4666960.763 2841107.5930000003, 4671696.735300001 2855478.0228000004, 4683800.216 2865231.0216000006, 4688408.726500001 2889033.9690000005, 4726983.6402 2881333.1931999996, 4742889.3682 2876362.7248), (4782534.532400001 2811756.030099999, 4780681.6302000005 2803583.5084000006, 4810026.3159 2802881.3099000007, 4805208.368100001 2815402.4612000007, 4796625.635 2819975.155200001, 4782534.532400001 2811756.030099999))",19367.651864410276,1718373.0,37.7,46.89781,71.0,2667.0,6.82595,88.72386864603128
AT13,2021,8082.585012400001,2,"POLYGON ((4810026.3159 2802881.3099000007, 4780681.6302000005 2803583.5084000006, 4782534.532400001 2811756.030099999, 4796625.635 2819975.155200001, 4805208.368100001 2815402.4612000007, 4810026.3159 2802881.3099000007))",338.78444260837034,1920949.0,52.8,54.74615,157.0,2569.0,4.2076,5670.121641980437
AT13,2022,8012.22844807,2,"POLYGON ((4810026.3159 2802881.3099000007, 4780681.6302000005 2803583.5084000006, 4782534.532400001 2811756.030099999, 4796625.635 2819975.155200001, 4805208.368100001 2815402.4612000007, 4810026.3159 2802881.3099000007))",338.78444260837034,1931593.0,53.0,54.24784,172.0,2254.0,4.14799,5701.53984972944
AT13,2023,7906.10922972,2,"POLYGON ((4810026.3159 2802881.3099000007, 4780681.6302000005 2803583.5084000006, 4782534.532400001 2811756.030099999, 4796625.635 2819975.155200001, 4805208.368100001 2815402.4612000007, 4810026.3159 2802881.3099000007))",338.78444260837034,1982097.0,52.5,53.913940000000004,205.0,2125.0,3.98876,5850.613991420126
AT21,2021,4998.10662978,2,"POLYGON ((4522751.2612 2668742.613, 4555161.946 2662389.4428000003, 4575782.6570999995 2670627.3467999995, 4599381.102 2665474.6390000004, 4609292.2369 2655196.4551, 4621593.138599999 2655568.1597000007, 4638176.7027 2669701.491699999, 4656329.2292 2663619.7195999995, 4683350.8409 2669927.308599999, 4688942.901799999 2671473.2507000007, 4701916.816299999 2659466.3616000004, 4702156.259299999 2644741.085999999, 4708765.1296999995 2628648.7771000005, 4696211.6099 2623087.5218, 4687023.0636 2610755.9064000007, 4680269.760500001 2604354.046, 4672386.9882 2595156.8956000004, 4661893.2820999995 2602363.9946, 4606152.070499999 2608175.0654000007, 4589828.600299999 2612229.3573000003, 4530306.198799999 2617285.803200001, 4527096.498 2619689.6187999994, 4529855.1293 2627740.1578, 4545432.259400001 2636324.135500001, 4522751.2612 2668742.613))",9393.036647002496,562089.0,39.4,47.369519999999994,11.0,3827.0,8.89202,59.841031300497875
AT21,2022,4904.55668556,2,"POLYGON ((4522751.2612 2668742.613, 4555161.946 2662389.4428000003, 4575782.6570999995 2670627.3467999995, 4599381.102 2665474.6390000004, 4609292.2369 2655196.4551, 4621593.138599999 2655568.1597000007, 4638176.7027 2669701.491699999, 4656329.2292 2663619.7195999995, 4683350.8409 2669927.308599999, 4688942.901799999 2671473.2507000007, 4701916.816299999 2659466.3616000004, 4702156.259299999 2644741.085999999, 4708765.1296999995 2628648.7771000005, 4696211.6099 2623087.5218, 4687023.0636 2610755.9064000007, 4680269.760500001 2604354.046, 4672386.9882 2595156.8956000004, 4661893.2820999995 2602363.9946, 4606152.070499999 2608175.0654000007, 4589828.600299999 2612229.3573000003, 4530306.198799999 2617285.803200001, 4527096.498 2619689.6187999994, 4529855.1293 2627740.1578, 4545432.259400001 2636324.135500001, 4522751.2612 2668742.613))",9393.036647002496,564513.0,42.2,47.14933,20.0,3369.0,8.688120000000001,60.09909480978627
