NUTS_CODE;YEAR;MONTH;CDD;HDD
CH;1978;1;0;581.23
CH;1978;2;0;515.43
CH;1978;3;0;450.59
CH;1978;4;0;335.59
CH;1978;5;0;206.03
CH;1978;6;0;82.15
CH;1978;7;0;47.67
CH;1978;8;0;49.2
CH;1978;9;0;148.05
CH;1978;10;0;286.31
CH;1978;11;0;436.28
CH;1978;12;0;554.3
CH;1979;1;0;698.75
CH;1979;2;0;506.62
CH;1979;3;0;479.1
CH;1979;4;0;422.19
CH;1979;5;0.02;250.96
CH;1979;6;0;107.48
CH;1979;7;0.14;90.18
CH;1979;8;0.01;123.81
CH;1979;9;0;161.6
CH;1979;10;0;282.63
CH;1979;11;0;480.02
CH;1979;12;0;519.84
CH;1980;1;0;647.1
CH;1980;2;0;486.17
CH;1980;3;0;488.88
CH;1980;4;0;440.85
CH;1980;5;0;301.27
CH;1980;6;0.18;185.2
CH;1980;7;0;149.39
CH;1980;8;0.49;75.42
CH;1980;9;0;127.81
CH;1980;10;0;349.63
CH;1980;11;0;495.58
CH;1980;12;0;641.86
CH;1981;1;0;679.4
CH;1981;2;0;586.03
CH;1981;3;0;415.91
CH;1981;4;0;317.35
CH;1981;5;0;256.61
CH;1981;6;0.14;139.11
CH;1981;7;0;118.37
CH;1981;8;0.17;81.48
CH;1981;9;0;153.73
CH;1981;10;0;338.92
CH;1981;11;0;466.78
CH;1981;12;0;626.05
CH;1982;1;0;584.79
CH;1982;2;0;524.44
CH;1982;3;0;518.46
CH;1982;4;0;392.67
CH;1982;5;0;228.89
CH;1982;6;0;103.92
CH;1982;7;0.99;58.69
CH;1982;8;0;98.04
CH;1982;9;0;109.03
CH;1982;10;0;326.54
CH;1982;11;0;422.21
CH;1982;12;0;549.36
CH;1983;1;0;528.37
CH;1983;2;0;600.32
CH;1983;3;0;457.63
CH;1983;4;0;358.51
CH;1983;5;0;308.01
CH;1983;6;0;110.64
CH;1983;7;19.36;27.95
CH;1983;8;0.9;71.47
CH;1983;9;0;139.64
CH;1983;10;0;295.14
CH;1983;11;0;452.3
CH;1983;12;0;569.69
CH;1984;1;0;612.17
CH;1984;2;0;603.91
CH;1984;3;0;558.06
CH;1984;4;0;402.29
CH;1984;5;0;334
CH;1984;6;0;155.16
CH;1984;7;2.65;92.39
CH;1984;8;0.07;91.26
CH;1984;9;0;218.52
CH;1984;10;0;297.2
CH;1984;11;0;392.95
CH;1984;12;0;550.39
CH;1985;1;0;770.44
CH;1985;2;0;541.45
CH;1985;3;0;538.13
CH;1985;4;0;368.48
CH;1985;5;0;243.92
CH;1985;6;0;174.09
CH;1985;7;1.11;50.32
CH;1985;8;0.54;95.3
CH;1985;9;0;103.05
CH;1985;10;0;269.98
CH;1985;11;0;559.71
CH;1985;12;0;510.13
CH;1986;1;0;621.59
CH;1986;2;0;667.24
CH;1986;3;0;505.84
CH;1986;4;0;428.17
CH;1986;5;0;176.07
CH;1986;6;0.6;147.19
CH;1986;7;0.98;87.99
CH;1986;8;1.75;100.23
CH;1986;9;0;156.57
CH;1986;10;0;258.18
CH;1986;11;0;425.92
CH;1986;12;0;568.71
CH;1987;1;0;710.27
CH;1987;2;0;522.59
CH;1987;3;0;583.64
CH;1987;4;0;329.86
CH;1987;5;0;318.51
CH;1987;6;0.24;182.98
CH;1987;7;0.1;75.8
CH;1987;8;0.2;86.42
CH;1987;9;0.05;93.36
CH;1987;10;0;273.75
CH;1987;11;0;435.85
CH;1987;12;0;508.97
CH;1988;1;0;517.39
CH;1988;2;0;538.86
CH;1988;3;0;530.99
CH;1988;4;0;329.95
CH;1988;5;0;187.49
CH;1988;6;0;136.17
CH;1988;7;1.83;71.29
CH;1988;8;0.25;78.16
CH;1988;9;0;165.61
CH;1988;10;0;258.07
CH;1988;11;0;487.27
CH;1988;12;0;538.05
CH;1989;1;0;533.63
CH;1989;2;0;448.59
CH;1989;3;0;386.53
CH;1989;4;0;389.64
CH;1989;5;0;189.72
CH;1989;6;0;147.19
CH;1989;7;1.36;62.11
CH;1989;8;0.65;84.45
CH;1989;9;0;160.8
CH;1989;10;0;273.23
CH;1989;11;0;470.74
CH;1989;12;0;514.86
CH;1990;1;0;559.48
CH;1990;2;0;389.89
CH;1990;3;0;399.93
CH;1990;4;0;390.81
CH;1990;5;0;163.48
CH;1990;6;0;146.4
CH;1990;7;0.83;71.13
CH;1990;8;0.91;57.13
CH;1990;9;0;180.09
CH;1990;10;0;246.15
CH;1990;11;0;468.38
CH;1990;12;0;632.41
CH;1991;1;0;578.31
CH;1991;2;0;581.5
CH;1991;3;0;399.17
CH;1991;4;0;397.16
CH;1991;5;0;330.08
CH;1991;6;0.04;158.69
CH;1991;7;2.26;49.12
CH;1991;8;1.03;40.22
CH;1991;9;0.01;96.64
CH;1991;10;0;341.37
CH;1991;11;0;469.69
CH;1991;12;0;597.83
CH;1992;1;0;605.65
CH;1992;2;0;513.09
CH;1992;3;0;450.62
CH;1992;4;0;361.6
CH;1992;5;0;171.57
CH;1992;6;0;138.25
CH;1992;7;3.34;65.66
CH;1992;8;11.61;36.99
CH;1992;9;0;154.58
CH;1992;10;0;377.64
CH;1992;11;0;397.39
CH;1992;12;0;561.94
CH;1993;1;0;515.62
CH;1993;2;0;528.16
CH;1993;3;0;492.51
CH;1993;4;0;314.68
CH;1993;5;0;181.03
CH;1993;6;0.02;106.47
CH;1993;7;0.31;106.58
CH;1993;8;0.27;80.83
CH;1993;9;0;199.61
CH;1993;10;0;353.16
CH;1993;11;0;516.06
CH;1993;12;0;525.74
CH;1994;1;0;552.32
CH;1994;2;0;505.5
CH;1994;3;0;354.01
CH;1994;4;0;396.05
CH;1994;5;0;209.17
CH;1994;6;0.32;117.86
CH;1994;7;8.94;31.2
CH;1994;8;6.35;47.68
CH;1994;9;0;175.29
CH;1994;10;0;302.16
CH;1994;11;0;342.83
CH;1994;12;0;507.06
CH;1995;1;0;633.72
CH;1995;2;0;436.38
CH;1995;3;0;525.49
CH;1995;4;0;340.04
CH;1995;5;0;227.43
CH;1995;6;0;175.01
CH;1995;7;8.7;36.38
CH;1995;8;0.12;93.12
CH;1995;9;0;236.32
CH;1995;10;0;202.98
CH;1995;11;0;466.33
CH;1995;12;0;584.18
CH;1996;1;0;560.81
CH;1996;2;0;596.53
CH;1996;3;0;523.26
CH;1996;4;0;330.75
CH;1996;5;0;231.85
CH;1996;6;0.16;102.67
CH;1996;7;0;97.9
CH;1996;8;0;97.59
CH;1996;9;0;259.43
CH;1996;10;0;314.58
CH;1996;11;0;456.37
CH;1996;12;0;588.81
CH;1997;1;0;596.47
CH;1997;2;0;442.08
CH;1997;3;0;388.76
CH;1997;4;0;375.5
CH;1997;5;0;208.67
CH;1997;6;0.02;135.65
CH;1997;7;0;97.39
CH;1997;8;0.17;54.78
CH;1997;9;0;115.16
CH;1997;10;0;304.61
CH;1997;11;0;439.44
CH;1997;12;0;545.39
CH;1998;1;0;564.51
CH;1998;2;0;432.37
CH;1998;3;0;468.81
CH;1998;4;0;371.2
CH;1998;5;0;197.55
CH;1998;6;0.58;112.35
CH;1998;7;4.3;76.16
CH;1998;8;7.63;77.74
CH;1998;9;0;191.37
CH;1998;10;0;322.96
CH;1998;11;0;546.34
CH;1998;12;0;585.49
CH;1999;1;0;554.56
CH;1999;2;0;583.14
CH;1999;3;0;454.49
CH;1999;4;0;362.46
CH;1999;5;0;173.01
CH;1999;6;0.04;150.06
CH;1999;7;1.45;65.17
CH;1999;8;0.51;69.05
CH;1999;9;0;102.8
CH;1999;10;0;304.34
CH;1999;11;0;520.1
CH;1999;12;0;579.29
CH;2000;1;0;615.67
CH;2000;2;0;480.55
CH;2000;3;0;455.09
CH;2000;4;0;327.98
CH;2000;5;0;170.16
CH;2000;6;0.21;89.86
CH;2000;7;0.29;134.6
CH;2000;8;1.15;60.88
CH;2000;9;0;139.22
CH;2000;10;0;300.59
CH;2000;11;0;444.68
CH;2000;12;0;500.08
CH;2001;1;0;580.98
CH;2001;2;0;482.52
CH;2001;3;0;420.94
CH;2001;4;0;409.25
CH;2001;5;0;168.22
CH;2001;6;0.19;157.24
CH;2001;7;0.75;73.78
CH;2001;8;1.5;53.45
CH;2001;9;0;257.12
CH;2001;10;0;192.75
CH;2001;11;0;499.3
CH;2001;12;0;635.71
CH;2002;1;0;579.27
CH;2002;2;0;430.56
CH;2002;3;0;422.79
CH;2002;4;0;359.2
CH;2002;5;0;239.41
CH;2002;6;7.16;79.72
CH;2002;7;0.11;76.83
CH;2002;8;0;85.05
CH;2002;9;0;204.87
CH;2002;10;0;308.95
CH;2002;11;0;410.68
CH;2002;12;0;510.79
CH;2003;1;0;622.96
CH;2003;2;0;600.57
CH;2003;3;0;408.09
CH;2003;4;0;351.88
CH;2003;5;0.06;180.81
CH;2003;6;12.67;23.34
CH;2003;7;6.04;48.43
CH;2003;8;30.94;22.25
CH;2003;9;0;156.54
CH;2003;10;0;400.42
CH;2003;11;0;415.14
CH;2003;12;0;558.62
CH;2004;1;0;610.44
CH;2004;2;0;516.86
CH;2004;3;0;495.19
CH;2004;4;0;338.12
CH;2004;5;0;251.22
CH;2004;6;0.4;107.66
CH;2004;7;0.41;79.55
CH;2004;8;0.58;64.69
CH;2004;9;0;138.74
CH;2004;10;0;243.75
CH;2004;11;0;457.2
CH;2004;12;0;570.59
CH;2005;1;0;614.91
CH;2005;2;0;613.24
CH;2005;3;0;476.6
CH;2005;4;0;340.9
CH;2005;5;0;199.63
CH;2005;6;6.95;89.94
CH;2005;7;4.98;77.26
CH;2005;8;0.01;108.28
CH;2005;9;0;134.21
CH;2005;10;0;254.43
CH;2005;11;0;469.45
CH;2005;12;0;647.98
CH;2006;1;0;649.07
CH;2006;2;0;552.22
CH;2006;3;0;535.76
CH;2006;4;0;343.15
CH;2006;5;0;208.09
CH;2006;6;0.91;101.01
CH;2006;7;17.96;18.31
CH;2006;8;0.09;145.65
CH;2006;9;0.06;79.21
CH;2006;10;0;205.66
CH;2006;11;0;375.76
CH;2006;12;0;511.75
CH;2007;1;0;492.27
CH;2007;2;0;427.62
CH;2007;3;0;447.11
CH;2007;4;0;195.56
CH;2007;5;0;182.14
CH;2007;6;0.12;93.98
CH;2007;7;2.24;87.91
CH;2007;8;0.47;93.67
CH;2007;9;0;198.03
CH;2007;10;0;308
CH;2007;11;0;495.23
CH;2007;12;0;584.56
CH;2008;1;0;521.78
CH;2008;2;0;464.7
CH;2008;3;0;494.74
CH;2008;4;0;373.62
CH;2008;5;0.1;167.9
CH;2008;6;2.39;107.25
CH;2008;7;0.58;75.66
CH;2008;8;0.18;69.29
CH;2008;9;0;207.95
CH;2008;10;0;286.9
CH;2008;11;0;462.08
CH;2008;12;0;593.94
CH;2009;1;0;655.75
CH;2009;2;0;550.79
CH;2009;3;0;495.88
CH;2009;4;0;279.95
CH;2009;5;0.88;149.77
CH;2009;6;0;111.41
CH;2009;7;1.06;66.72
CH;2009;8;4.58;43.01
CH;2009;9;0;113.2
CH;2009;10;0;307.26
CH;2009;11;0;384.63
CH;2009;12;0;600.21
CH;2010;1;0;673.02
CH;2010;2;0;550.1
CH;2010;3;0;495.88
CH;2010;4;0;317.97
CH;2010;5;0;262.29
CH;2010;6;0.48;115.53
CH;2010;7;12.69;46.82
CH;2010;8;0.04;98.11
CH;2010;9;0;187.04
CH;2010;10;0;328.59
CH;2010;11;0;451.56
CH;2010;12;0;645.94
CH;2011;1;0;587.24
CH;2011;2;0;467.49
CH;2011;3;0;428.02
CH;2011;4;0;245.92
CH;2011;5;0;158.57
CH;2011;6;1.37;112.09
CH;2011;7;0.05;116.05
CH;2011;8;6.85;57.69
CH;2011;9;0;99.51
CH;2011;10;0;298.6
CH;2011;11;0;389.06
CH;2011;12;0;526.66
CH;2012;1;0;563.09
CH;2012;2;0;670.36
CH;2012;3;0;384.23
CH;2012;4;0;353.08
CH;2012;5;0;192.48
CH;2012;6;2.5;91.73
CH;2012;7;1.1;66.55
CH;2012;8;5.27;46.13
CH;2012;9;0;154.08
CH;2012;10;0;285.43
CH;2012;11;0;406.87
CH;2012;12;0;581.75
CH;2013;1;0;594.24
CH;2013;2;0;603.64
CH;2013;3;0;526.95
CH;2013;4;0;331.15
CH;2013;5;0;287.74
CH;2013;6;4.35;139.3
CH;2013;7;7.31;38.84
CH;2013;8;4.15;64.84
CH;2013;9;0;144.85
CH;2013;10;0;248.84
CH;2013;11;0;469.69
CH;2013;12;0;536.44
CH;2014;1;0;534.29
CH;2014;2;0;466.04
CH;2014;3;0;414.45
CH;2014;4;0;290.67
CH;2014;5;0.07;242.39
CH;2014;6;1.79;91.58
CH;2014;7;0.14;85.67
CH;2014;8;0.02;109.43
CH;2014;9;0;133.75
CH;2014;10;0;218.66
CH;2014;11;0;365.21
