"NUTS","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
EU27_2020,,,,,,,,,,,,,,,,31402.190000000002,31838.39,32155.33,32389.52,33052.71,33792.44,34128.25,34262.2,34466.95,34589.05,34717.04,34834.48,34843.48,35342.78,35457.81,36144.46,36577.43,36690.26,36803.020000000004,36915.78,36968.78,37216.97,37563.33,37965.32,38214.07,37463.03,38204.11,37958.11,37858.97,38555.17,39183.25,39386.85,39726.5
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.64,3337.4,4372.22,4294.76,4493.49,3984.64,4082.39,4189.34,4501.67,4246.36,4679.81,5362.51,5500.3,5681.12,5775.63
AL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.64,3337.4,4372.22,4294.76,4493.49,3984.64,4082.39,4189.34,4501.67,4246.36,4679.81,5362.51,5500.3,5681.12,5775.63
AL01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.57,3337.39,4372.11,4294.91,4493.38,3984.6800000000003,4083.2400000000002,4189.04,4502.01,4246.8,4679.76,5362.6,5500.41,5681.43,
AL011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.11,3337.14,4370.28,4296.57,4493.38,3983.5,4084.31,4189.88,4500.6,4246.22,4680.97,5363.92,5498.51,5681.42,
AL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.84,3336.98,4371.87,4294.32,4493.650000000001,3985.61,4083.1600000000003,4189.17,4501.32,4247.24,4679.39,5362.61,5499.83,5681.1,
AL013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3437.92,3334.85,4375.29,4295.33,4494.4400000000005,3983.48,4088.9100000000003,4188.07,4502.95,4244.01,4682.2300000000005,5361.13,5500,5680.14,
AL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3437.23,3335.2400000000002,4372.12,4297.22,4492.28,3985.9700000000003,4082.57,4188.08,4501.82,4246.54,4679.47,5362.71,5500.81,5681.32,
AL015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3439.58,3338.62,4372.33,4294.97,4493.29,3985.44,4082.6800000000003,4189.31,4501.88,4246.01,4678.84,5362.2,5500.78,5680.78,
AL02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.59,3337.17,4372.11,4294.74,4493.42,3984.55,4082.06,4189.31,4501.66,4246.17,4679.95,5362.49,5500.54,5680.88,
AL021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.34,3336.78,4372.8,4294.61,4493.650000000001,3984.9300000000003,4081.98,4188.88,4501.08,4246.07,4678.85,5362.52,5500.29,5680.04,
AL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.6800000000003,3337.31,4371.88,4294.79,4493.35,3984.83,4082.4500000000003,4189.4400000000005,4501.82,4246.1900000000005,4679.91,5362.14,5500.27,5681.14,
AL03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.77,3337.6800000000003,4372.46,4294.65,4494.09,3984.7200000000003,4082.03,4189.66,4501.37,4246.22,4679.66,5362.4800000000005,5500.2300000000005,5681.52,
AL031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3437.83,3336.9500000000003,4372.76,4293.9800000000005,4496.49,3984.33,4081.19,4190.15,4502.99,4245.28,4680.85,5363.29,5499.72,5681.7300000000005,
AL032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.98,3337.41,4372.08,4295.17,4493.61,3984.26,4081.7000000000003,4189.04,4500.06,4246.54,4679.74,5362.89,5500.78,5681.59,
AL033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.8,3340.4900000000002,4371.91,4292.32,4493.52,3985.2200000000003,4080.84,4192.04,4502.06,4241.9,4681.77,5361.5,5499.33,5684.87,
AL034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.88,3337.32,4372.2,4294.93,4493.74,3984.78,4081.7000000000003,4189.46,4500.92,4247.06,4679.6,5362.25,5500.31,5681.82,
AL035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.96,3338.03,4371.37,4294.81,4493.77,3983.57,4082.07,4189.78,4502.6,4246.72,4679.83,5361.75,5500.09,5681.32,
ALZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,,,,,,,,,,,,,,,,43563.85,43742.36,43548.33,44480.68,45236.520000000004,45640.43,45438.340000000004,45871.38,46070.99,46208.25,45970.15,46431.76,46743.76,47523.18,47279.58,47359.68,47491.23,47727.13,47910.97,47795.39,47643.91,47889.65,48177.770000000004,48657.3,49286.04,48869.47,49419.29,49312.090000000004,49148.950000000004,50639.96,50685.07,50479.270000000004,50343.840000000004
AT1,,,,,,,,,,,,,,,,46738.4,46954.55,46589.12,47278.13,48184.25,48299.42,48048.64,48684.270000000004,48810.63,48898.43,48698.98,49091.41,49498.83,50491.85,50352.93,50370.08,50342.98,50361.66,50323.86,50092.14,49617.05,50023.25,50190.1,50651.16,51152.98,50768.08,51109.12,50825.35,50599.87,51936.16,51983.57,51772.36,51633.49
AT11,,,,,,,,,,,,,,,,32601.04,33458.07,33864.24,34197.24,34836.82,40413.04,40365.29,40650.12,40679.72,40737.9,40220.14,40596.55,40849.1,40902.11,40836.48,40866.08,40891.24,40672.9,41265.91,41098.590000000004,40772.590000000004,40883.97,41040.38,41720.49,41938.32,41931.49,42629.73,42558.270000000004,42447.63,43915.62,43953.03,43773.08,43654.41
AT111,,,,,,,,,,,,,,,,32587.21,33464.11,33875.24,34185.82,34828.93,41775.51,41673.47,41393.94,41888.89,41760,40960.4,41048.54,41342.86,41169.81,40858.49,41190.48,41127.270000000004,40881.82,41196.43,40964.91,40955.75,41105.26,41215.520000000004,41737.29,41801.65,41737.29,42778.69,42788.62,42796.75,44242.67,44284.55,44093.85,43979.1
AT112,,,,,,,,,,,,,,,,32608.030000000002,33456.44,33860.57,34200.54,34840.39,39682.65,39615.56,40084.86,40053.69,40158.13,39726.270000000004,40105.6,40450.53,40563.94,40546.97,40582.48,40560.55,40308.71,40873.37,40654.61,40257.5,40391.99,40590.83,41306.29,41537.83,41429.520000000004,42156.700000000004,42091.63,42048.51,43468.17,43507.12,43324.51,43213.12
AT113,,,,,,,,,,,,,,,,32599.93,33458.1,33865.28,34196.68,34834.41,41054.79,41055.36,41240.55,41222.22,41265.1,40716.67,41198.020000000004,41433.22,41319.62,41139.68,41200,41332.31,41193.85,41938.46,41765.24,41475.61,41668.69,41770.15,42456.97,42700.88,42788.520000000004,43432.75,43440,43166.67,44609.51,44642.55,44471.32,44337.99
AT12,,,,,,,,,,,,,,,,38670.91,39007.590000000004,39099.28,39921.29,40424.75,43692.53,43332.26,43783.96,44211.67,44463.83,43907.55,44420.68,44742.86,45326.8,45162.75,45576.14,45757.71,45881.07,46065.61,45937.01,45714.38,46086.93,46431.16,46918.82,47332.56,46734.340000000004,47118.65,47056.4,46897.81,48550.96,48592.36,48395.16,48265.58
